Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2012;68;Cataguases;81;381;2;0,001146821;4,703703704;0,024691358;0,751;16612,98;70630;61779;16103;2139,62;0;59,46;0;0;87,47
2012;69;Caxambu;1;3;0;4,62086E-05;3;0;0,743;11538,15;21641;21189;8146;798,39;796,52;76,85;99,77;76,67;97,91
2012;72;Cláudio;64;216;1;0,002436981;3,375;0,015625;0,709;14543,45;26262;21557;7225;756,92;712,72;73,69;94,16;69,38;82,08
2012;73;Conceição das Alagoas;14;39;0;0,000584991;2,785714286;0;0,712;28213,6;23932;21651;6730;1070;0;77,99;0;0;90,47
2012;74;Conceição de Ipanema;108;259;1;0,024171889;2,398148148;0,009259259;0,676;6408,81;4468;2886;940;118;0;86,89;0;0;64,59
2012;75;Conceição do Mato Dentro;47;161;0;0,002640746;3,425531915;0;0,634;17488,1;17798;10236;3383;320,22;0;57,44;0;0;57,51
2012;77;Congonhas;24;77;1;0,000483715;3,208333333;0,041666667;0,753;62823,77;49616;41492;12077;1371,4;0;63,04;0;0;83,63
2012;79;Conselheiro Lafaiete;492;1455;0;0,004149168;2,957317073;0;0,761;12827,32;118578;113239;35484;3895,34;658,65;68,13;16,91;11,52;95,5
2012;80;Conselheiro Pena;47;109;1;0,002105829;2,319148936;0,021276596;0,662;9921,2;22319;18270;6823;856,56;0;80;0;0;81,86
2012;81;Contagem;99;327;2;0,000161286;3,303030303;0,02020202;0,756;36780,63;613815;603129;144462;22525,88;19450,99;67,57;86,35;58,35;98,26
2012;82;Coração de Jesus;16;63;1;0,00061352;3,9375;0,0625;0,642;11695,4;26079;5733;1690;130,64;130,64;27,7;100;27,7;21,98
2012;83;Coronel Fabriciano;9;30;0;8,60116E-05;3,333333333;0;0,755;11483,22;104637;103326;25992;3019,52;0;68,3;0;0;98,75
2012;84;Cristina;10;22;0;0,000981258;2,2;0;0,668;12833,44;10191;8050;1762;560;0;80;0;0;78,99
2012;85;Cruzília;12;46;0;0,000815439;3,833333333;0;0,695;9556,96;14716;13400;4979;428,33;0;74,28;0;0;91,06
2012;86;Curvelo;61;468;0;0,000813182;7,672131148;0;0,713;14129,33;75014;65294;20359;2098,98;2018,03;62,13;96,14;59,73;87,04
2012;89;Diamantina;18;66;0;0,000390244;3,666666667;0;0,716;10586,07;46125;46777;11734;1130,83;96,88;64,44;8,57;5,52;100
2012;92;Divinópolis;36;239;5;0,00016559;6,638888889;0,138888889;0,609;20235,31;217404;211791;57206;9225,94;0;70,03;0;0;97,42
2012;95;Dores do Indaiá;5;11;0;0,000365337;2,2;0;0,719;11275,88;13686;12530;5279;468,63;446,08;74,02;95,19;70,45;91,55
2012;96;Elói Mendes;21;56;0;0,000816644;2,666666667;0;0,685;14370,42;25715;20578;7346;1619,96;0;85,37;0;0;80,02
2012;97;Entre Rios de Minas;175;601;2;0,012141816;3,434285714;0,011428571;0,672;8577,58;14413;9053;5000;359,97;0;67,79;0;0;62,81
2012;98;Esmeraldas;7;38;0;0,000112428;5,428571429;0;0,671;6926,69;62262;9455;2922;270,53;1,53;13,82;0,57;0,08;15,19
2012;100;Estrela do Sul;18;106;0;0,002389804;5,888888889;0;0,696;109797,1;7532;7252;2217;304,21;0;100;0;0;96,28
2012;101;Eugenópolis;109;350;1;0,010228019;3,211009174;0,009174312;0,675;9494,21;10657;9000;2800;1000;0;100;0;0;84,45
2012;102;Extrema;58;122;0;0,001932303;2,103448276;0;0,732;103412,75;30016;26433;7666;1128,92;0,96;66,97;0,09;0,06;88,06
2012;104;Formiga;131;441;4;0,0020011;3,366412214;0,030534351;0,755;16744,21;65464;60487;22352;6729;0;89,56;0;0;92,4
2012;105;Francisco Sá;8;18;0;0,000318522;2,25;0;0,654;9202,97;25116;12667;3198;591;0;88,5;0;0;50,43
2012;106;Frutal;31;78;0;0,000568693;2,516129032;0;0,73;19729,38;54511;46988;18303;1937,23;1873,91;79,73;96,73;77,12;86,2
2012;107;Gouveia;37;141;0;0,003167808;3,810810811;0;0,681;9073,41;11680;10512;3236;360;36;100;10;10,05;90
2012;108;Governador Valadares;337;1031;1;0,001266013;3,059347181;0,002967359;0,727;15340,23;266190;259258;76421;12972,67;0;85;0;0;97,4
2012;109;Grão Mogol;53;261;1;0,003499505;4,924528302;0,018867925;0,604;38790,44;15145;5434;1500;280;0;100;0;0;35,88
2012;110;Guanhães;19;66;1;0,000597841;3,473684211;0,052631579;0,686;14316,76;31781;25636;6710;1258,43;0;85;0;0;80,66
2012;111;Guapé;2;5;0;0,000143771;2,5;0;0,679;10450,61;13911;10703;3258;410;0;70,93;0;0;76,94
2012;112;Guaraciaba;69;328;1;0,006752789;4,753623188;0,014492754;0,623;5504,54;10218;2954;963;74,91;0;68,9;0;0;28,91
2012;113;Guaranésia;29;94;1;0,001548566;3,24137931;0,034482759;0,701;18046,31;18727;16848;6872;441,99;0;47,66;0;0;89,97
2012;116;Ibiá;2;7;0;8,49365E-05;3,5;0;0,718;26569,12;23547;20803;6491;1025,22;0;81,03;0;0;88,35
2012;121;Ipanema;78;340;2;0,004226497;4,358974359;0,025641026;0,693;8543,93;18455;12984;4809;1152;0;93,66;0;0;70,35
2012;122;Ipatinga;515;3152;4;0,002114634;6,12038835;0,00776699;0,771;36065,59;243541;240998;67526;9226,38;9226,38;84,57;100;84,57;98,96
2012;125;Itabira;42;270;1;0,000376634;6,428571429;0,023809524;0,756;49850,98;111514;99548;28250;5131,93;1617,6;80;31,56;25,22;89,27
2012;127;Itabirito;28;130;2;0,000601;4,642857143;0,071428571;0,73;60929,15;46589;37271;11536;1455;0;55,39;0;0;80
2012;128;Itacarambi;2;6;0;0,000112606;3;0;0,641;7503,22;17761;3050;784;73,41;73,41;13,19;100;13,19;17,17
2012;129;Itaguara;20;59;0;0,00159566;2,95;0;0,691;13635,69;12534;10042;2936;433,48;0;79,62;0;0;80,12
2012;131;Itajubá;43;157;2;0,000469212;3,651162791;0,046511628;0,787;24690,6;91643;83663;27150;3929,26;3344,82;73,18;85,13;62,29;91,29
2012;132;Itamarandiba;225;712;2;0,006902899;3,164444444;0,008888889;0,646;8963,48;32595;17138;4934;431,8;0,1;50,58;0,02;0,01;52,58
2012;135;Itamonte;27;47;0;0,001891286;1,740740741;0;0,705;28993,45;14276;9799;1550;300;0;55,24;0;0;68,64
2012;136;Itanhandu;26;71;0;0,001809829;2,730769231;0;0,739;23726,61;14366;14200;5532;2192;0;100;0;0;98,84
