Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta
2010;7;Araxá;84;223;0;0,985182338;0,772;93672;27466,91
2011;7;Araxá;48;171;0;0,985179169;0,772;94799;30454,99
2012;7;Araxá;49;185;0;0,985180627;0,772;95888;41077,82
2013;7;Araxá;49;189;2;0,985177925;0,772;99986;42591,31
2014;7;Araxá;52;205;1;0,985178374;0,772;101136;47115,64
2008;8;Ataléia;127;314;0;0,242592351;0,46;15322;5351,24
2009;8;Ataléia;134;320;4;0,253594513;0,46;15162;5557,83
2010;8;Ataléia;133;325;0;0,272639225;0,588;14455;4877,62
2011;8;Ataléia;131;446;2;0,286204482;0,588;14280;5921,84
2012;8;Ataléia;117;427;2;0,3005174;0,588;14109;6743,78
2013;8;Ataléia;71;234;1;0,297336866;0,588;14344;7364,77
2014;8;Ataléia;98;290;0;0,307654356;0,588;14188;9148,8
2008;9;Barbacena;76;389;2;0,834372644;0,664;127328;10712,31
2009;9;Barbacena;55;254;0;0,839016271;0,664;128572;10386,55
2010;9;Barbacena;57;240;0;0,880942954;0,769;126284;12498,45
2011;9;Barbacena;36;202;0;0,729778805;0,769;127218;13480,45
2012;9;Barbacena;24;157;0;0,738729316;0,769;128120;14784,11
2013;9;Barbacena;39;331;3;0,744615732;0,769;132980;15764,49
2014;9;Barbacena;32;227;2;0,75732989;0,769;133972;17014,04
2008;10;Belo Horizonte;3230;17231;26;0,976321365;0,726;2434642;17313,06
2009;10;Belo Horizonte;2570;14203;23;1,001578314;0,726;2452617;18182,7
2010;10;Belo Horizonte;2627;15146;31;1;0,81;2375151;24922,95
2011;10;Belo Horizonte;2129;13090;28;1;0,81;2385640;27797,65
2012;10;Belo Horizonte;2121;13733;27;1;0,81;2395785;31167,37
2013;10;Belo Horizonte;1697;10962;18;1;0,81;2479165;33167,4
2014;10;Belo Horizonte;1714;9398;14;1;0,81;2491109;35187,85
2008;11;Berilo;53;189;0;0,226590526;0,497;13659;3818,48
2009;11;Berilo;78;273;0;0,229204637;0,497;13717;4044,81
2010;11;Berilo;87;280;0;0,365853659;0,628;12300;4304,85
2011;11;Berilo;66;207;0;0,171456564;0,628;12248;4771,96
2012;11;Berilo;59;187;1;0,290785375;0,628;12198;5201,02
2013;11;Berilo;62;178;1;0,32739047;0,628;12508;6207,6
2014;11;Berilo;65;194;1;0,294009143;0,628;12469;6957,94
2008;12;Betim;50;340;1;0,666131169;0,612;429507;58938,14
2009;12;Betim;40;263;1;0,718681239;0,612;441748;57009,27
2010;12;Betim;58;350;1;0,869181595;0,749;378089;61939,08
2011;12;Betim;36;142;1;0,885893355;0,749;383571;56927,57
2012;12;Betim;51;311;0;0,905010119;0,749;388873;55678,87
2013;12;Betim;25;171;0;0,931702889;0,749;406474;54140,46
2014;12;Betim;54;334;0;0,964196863;0,749;412003;53456,01
2008;13;Boa Esperança;47;155;0;0,882094059;0,617;39082;10676,59
2009;13;Boa Esperança;40;105;0;0,900264941;0,617;39254;10855,97
2010;13;Boa Esperança;42;145;0;0,835782532;0,704;38516;11107,72
2011;13;Boa Esperança;43;114;0;0,835788438;0,704;38627;14348,72
2012;13;Boa Esperança;47;124;0;0,835777353;0,704;38734;15842,75
2013;13;Boa Esperança;29;102;0;0,835773902;0,704;40018;15297,5
2014;13;Boa Esperança;32;99;1;0,835786328;0,704;40155;16244,81
2008;14;Bocaiúva;43;158;0;0,741847709;0,577;46306;7527,64
2009;14;Bocaiúva;66;197;3;0,742107069;0,577;46624;7708,34
2010;14;Bocaiúva;84;237;0;0,746988468;0,7;46654;8439,86
2011;14;Bocaiúva;30;115;0;0,745473908;0,7;46950;9586,03
2012;14;Bocaiúva;38;132;0;0,762130578;0,7;47236;11837,26
2013;14;Bocaiúva;22;62;0;0,769796218;0,7;48974;13067,1
2014;14;Bocaiúva;54;185;0;0,768871848;0,7;49293;13348,83
2008;15;Bom Despacho;50;193;0;1,029614105;0,665;43898;11756,36
2009;15;Bom Despacho;15;70;1;1,060589631;0,665;44265;11278,66
2010;15;Bom Despacho;37;178;0;0,941675434;0,75;45624;13815,39
2011;15;Bom Despacho;29;98;1;0,941686025;0,75;46061;15344,45
2012;15;Bom Despacho;21;71;0;0,941676348;0,75;46482;17464,94
2013;15;Bom Despacho;16;59;0;0,941675284;0,75;48350;19169,38
2014;15;Bom Despacho;12;31;0;0,941682718;0,75;48802;20507,56
2008;16;Borda da Mata;22;67;0;0,847470817;0,615;15420;7466,33
2009;16;Borda da Mata;10;30;0;0,853292062;0,615;15507;7939,28
2010;16;Borda da Mata;6;20;0;0,793784321;0,73;17118;9392,16
2011;16;Borda da Mata;14;39;0;0,801373817;0,73;17324;10524,97
2012;16;Borda da Mata;14;36;0;0,801403869;0,73;17523;12129,95
2013;16;Borda da Mata;5;17;1;0,801379235;0,73;18271;12364,26
2014;16;Borda da Mata;0;0;0;0,801363563;0,73;18481;13886,98
2008;17;Botelhos;16;56;0;0,645053651;0,602;15284;9294,95
2009;17;Botelhos;15;47;0;0,648113022;0,602;15289;7687,63
2010;17;Botelhos;9;33;0;0,678552279;0,702;14920;7943,45
2011;17;Botelhos;15;41;0;0,693700946;0,702;14907;9371,77
2012;17;Botelhos;26;113;0;0,718928356;0,702;14893;10506,25
2013;17;Botelhos;29;140;1;0,714341642;0,702;15326;10342,95
2014;17;Botelhos;21;71;0;0,723588907;0,702;15325;12563,09
2008;18;Brasília de Minas;128;768;1;0,565123055;0,513;32262;4011,3
2009;18;Brasília de Minas;115;531;0;0,543097602;0,513;32438;4511,59
2010;18;Brasília de Minas;168;926;0;0,576939096;0,656;31213;5105,4
2011;18;Brasília de Minas;137;532;0;0,594674934;0,656;31286;5812,33
2012;18;Brasília de Minas;44;216;0;0,618191096;0,656;31356;6574,64
2013;18;Brasília de Minas;12;62;2;0,61615912;0,656;32378;7230,74
2014;18;Brasília de Minas;9;43;0;0,642441413;0,656;32473;8152,83
2008;19;Brumadinho;25;73;;0,600421453;0,627;33693;24789,95
2009;19;Brumadinho;19;45;;0,598499607;0,627;34391;13812,21
2010;19;Brumadinho;12;24;;0,621052012;0,747;33973;39254,99
2011;19;Brumadinho;16;33;;0,625919277;0,747;34538;63537,89
2012;19;Brumadinho;13;32;;0,627818156;0,747;35085;68461,96
2013;19;Brumadinho;19;81;;0,638891912;0,747;36748;80729,36
2014;19;Brumadinho;5;10;;0,643190224;0,747;37314;79293,99
2008;20;Bueno Brandão;88;228;2;0,571594462;0,55;11195;6269,92
2009;20;Bueno Brandão;24;68;0;0,576168391;0,55;11212;8520,36
2010;20;Bueno Brandão;8;26;0;0,520932795;0,658;10892;7208,2
2011;20;Bueno Brandão;13;42;0;0,520892644;0,658;10889;7903,53
2012;20;Bueno Brandão;39;135;0;0,520944332;0,658;10886;8763,72
2013;20;Bueno Brandão;30;120;0;0,520916957;0,658;11211;9746,3
2014;20;Bueno Brandão;39;118;0;0,520905768;0,658;11217;10269,52
2008;21;Caeté;29;143;3;0,733006842;0,661;40634;5802,28
2009;21;Caeté;16;57;0;0,794739663;0,661;41043;5679,23
2010;21;Caeté;17;63;1;0,86998773;0,728;40750;7780,96
2011;21;Caeté;13;51;1;0,955514455;0,728;41092;10297,92
2012;21;Caeté;13;87;2;0,953745504;0,728;41423;11748,84
2013;21;Caeté;14;69;1;0,9355191;0,728;43036;12319,35
2014;21;Caeté;11;41;0;0,929623228;0,728;43395;13722,64
2008;22;Cambuí;40;119;0;0,897008055;0,654;26070;11585,84
2009;22;Cambuí;29;106;0;0,891333207;0,654;26365;12386,33
2010;22;Cambuí;38;98;0;0,844118091;0,751;26488;17789,8
2011;22;Cambuí;52;141;0;0,840838596;0,751;26759;18565,27
2012;22;Cambuí;17;58;0;0,903997039;0,751;27020;20128,03
2013;22;Cambuí;30;81;0;0,891690076;0,751;28123;20895,89
2014;22;Cambuí;50;142;2;0,876698824;0,751;28402;26531,75
2008;23;Campanha;42;98;1;0,885370488;0,63;15790;8489,13
2009;23;Campanha;51;136;0;0,900746128;0,63;15949;9148,62
2010;23;Campanha;57;146;1;0,863474373;0,709;15433;10662,98
2011;23;Campanha;80;249;0;0,863478373;0,709;15536;13289,84
2012;23;Campanha;50;119;0;0,863447394;0,709;15635;14129,57
2013;23;Campanha;54;143;0;0,863459759;0,709;16215;13812,83
2014;23;Campanha;37;95;1;0,863460949;0,709;16325;17287,17
2008;24;Campina Verde;54;167;1;0,89040454;0,621;19207;10605,31
2009;24;Campina Verde;89;239;1;0,911202542;0,621;19201;11299,12
2010;24;Campina Verde;50;128;0;0,746895053;0,704;19324;14714,86
2011;24;Campina Verde;53;132;1;0,746872092;0,704;19342;19005,35
2012;24;Campina Verde;73;204;0;0,746874677;0,704;19358;20295,46
2013;24;Campina Verde;50;150;1;0,746881106;0,704;19959;21569,13
2014;24;Campina Verde;60;157;0;0,746886099;0,704;19991;23679,96
2008;25;Campo Belo;64;238;4;0,943656156;0,632;53280;7957,89
2009;25;Campo Belo;42;226;0;0,942575438;0,632;53653;7444,69
2010;25;Campo Belo;1;19;0;0,949906876;0,711;51544;10186,6
2011;25;Campo Belo;3;18;0;1;0,711;51725;12062,18
2012;25;Campo Belo;5;22;1;1;0,711;51900;13624,68
2013;25;Campo Belo;5;37;0;0,967272998;0,711;53656;14589,68
2014;25;Campo Belo;5;25;0;0,949619454;0,711;53870;15450,97
2008;26;Campo do Meio;0;0;;0,950168919;0,576;11840;6714,86
2009;26;Campo do Meio;0;0;;0,959481088;0,576;11871;7059,74
2010;26;Campo do Meio;1;4;;0,876524922;0,683;11476;6812,39
2011;26;Campo do Meio;0;0;;0,87195122;0,683;11480;9772,53
2012;26;Campo do Meio;5;23;;0,871723417;0,683;11483;8890,11
2013;26;Campo do Meio;3;13;;0,860451357;0,683;11831;8591,93
2014;26;Campo do Meio;7;27;;0,861195542;0,683;11844;9735,05
2008;27;Capelinha;214;628;0;0,519609841;0,49;34345;6321,11
2009;27;Capelinha;84;274;1;0,528700121;0,49;34634;5957,47
2010;27;Capelinha;167;433;0;0,592190328;0,653;34803;7359,35
2011;27;Capelinha;122;342;0;0,624650898;0,653;35090;9570,89
2012;27;Capelinha;171;384;0;0,645216014;0,653;35368;10678,7
2013;27;Capelinha;105;234;0;0,639711486;0,653;36740;11292,62
2014;27;Capelinha;189;456;0;0,670257282;0,653;37041;13729,68
2008;28;Capetinga;1;2;;0,10134859;0,58;7341;8639,77
2009;28;Capetinga;5;12;;0,0999181;0,58;7326;8289,25
2010;28;Capetinga;2;7;;0,102835379;0,675;7089;8410,73
2011;28;Capetinga;1;2;;0,097819932;0,675;7064;9445,34
2012;28;Capetinga;0;0;;0,085381446;0,675;7039;11021,37
2013;28;Capetinga;0;0;;0,085018001;0,675;7222;11072,55
2014;28;Capetinga;0;0;;0,089546022;0,675;7203;12975,09
2008;29;Carangola;107;585;1;0,649844369;0,637;33091;6676,5
2009;29;Carangola;177;1032;1;0,678440118;0,637;33182;7136,91
2010;29;Carangola;200;1099;1;0,580907852;0,695;32296;9009,9
2011;29;Carangola;185;900;2;0,580386698;0,695;32325;10172,71
2012;29;Carangola;153;874;1;0,608846166;0,695;32353;11385,08
2013;29;Carangola;126;743;0;0,63906709;0,695;33358;11171,22
2014;29;Carangola;184;934;2;0,639650425;0,695;33412;12317,6
2008;30;Caratinga;76;373;2;0,587338638;0,606;84825;7218,34
2009;30;Caratinga;82;344;2;0,60358948;0,606;85472;8006,74
2010;30;Caratinga;40;155;2;0,637196588;0,706;85239;10069,21
2011;30;Caratinga;19;101;1;0,66023004;0,706;85811;12426,38
2012;30;Caratinga;86;336;2;0,684127646;0,706;86364;12408,89
2013;30;Caratinga;79;294;1;0,72880618;0,706;89578;13221
2014;30;Caratinga;70;258;1;0,746208089;0,706;90192;14666,61
2008;31;Carbonita;18;61;0;0,515767674;0,482;10623;6661,1
2009;31;Carbonita;25;68;0;0,505796161;0,482;10783;5832,88
2010;31;Carbonita;40;123;0;0,644293835;0,638;9148;5768,97
2011;31;Carbonita;27;82;1;0,653023357;0,638;9162;6389,33
2012;31;Carbonita;17;55;0;0,670989538;0,638;9176;8509,13
2013;31;Carbonita;20;59;0;0,662194993;0,638;9467;8190,22
2014;31;Carbonita;11;25;1;0,6980078;0,638;9487;15498,61
2008;32;Carlos Chagas;103;249;0;0,533330204;0,524;21302;8623,83
2009;32;Carlos Chagas;133;325;0;0,564161795;0,524;21212;9227,01
2010;32;Carlos Chagas;115;277;1;0,61537695;0,648;20069;12651,79
2011;32;Carlos Chagas;111;270;0;0,64596928;0,648;19922;14597,83
2012;32;Carlos Chagas;131;337;0;0,645988169;0,648;19779;14049,01
2013;32;Carlos Chagas;146;383;1;0,645987929;0,648;20214;14570,29
2014;32;Carlos Chagas;143;369;0;0,645993031;0,648;20090;16131,76
2008;33;Carmo da Mata;20;68;;0,716235253;0,581;11358;7301,15
2009;33;Carmo da Mata;18;61;;0,751397868;0,581;11446;6888,27
2010;33;Carmo da Mata;28;71;;0,829687929;0,689;10927;8275,43
2011;33;Carmo da Mata;14;37;;0,826586433;0,689;10968;9550,98
2012;33;Carmo da Mata;6;22;;0,823657672;0,689;11007;10357,98
2013;33;Carmo da Mata;2;4;;0,834651204;0,689;11382;12413,65
2014;33;Carmo da Mata;0;0;;0,861405197;0,689;11429;13899,88
2008;34;Carmo de Minas;16;35;1;0,533857825;0,558;14236;7183,6
2009;34;Carmo de Minas;35;129;0;0,660832118;0,558;14397;7923,83
2010;34;Carmo de Minas;45;115;0;0,762836364;0,682;13750;7262,88
2011;34;Carmo de Minas;15;42;0;0,757711479;0,682;13843;10369,03
2012;34;Carmo de Minas;19;51;0;0,762704565;0,682;13932;9952,2
2013;34;Carmo de Minas;9;14;0;0,740986783;0,682;14451;9369,43
2014;34;Carmo de Minas;4;10;1;0,741030928;0,682;14550;11548,03
2008;35;Carmo do Rio Claro;43;131;0;0,796409873;0,628;20055;12109,58
2009;35;Carmo do Rio Claro;41;127;0;0,810961634;0,628;20070;10110,4
2010;35;Carmo do Rio Claro;35;108;2;0,70312347;0,733;20426;10911,16
2011;35;Carmo do Rio Claro;24;84;2;0,703125;0,733;20480;15621,05
2012;35;Carmo do Rio Claro;26;116;0;0,703131849;0,733;20531;14619,01
2013;35;Carmo do Rio Claro;13;46;1;0,703102895;0,733;21206;14162,69
2014;35;Carmo do Rio Claro;28;85;1;0,703144831;0,733;21273;16050,37
2008;36;Carmópolis de Minas;21;52;0;0,697716895;0,565;16425;9051,96
2009;36;Carmópolis de Minas;15;46;0;0,698869105;0,565;16624;10075,42
2010;36;Carmópolis de Minas;22;77;0;0,717034256;0,7;17048;11854,98
2011;36;Carmópolis de Minas;6;24;0;0,736787204;0,7;17256;13693,77
2012;36;Carmópolis de Minas;13;28;1;0,737053162;0,7;17456;14979,35
2013;36;Carmópolis de Minas;15;41;0;1;0,7;18205;17018,45
2014;36;Carmópolis de Minas;7;14;0;1;0,7;18416;18798,37
2008;37;Carvalhos;11;28;;0,480692129;0,507;4739;5253,74
2009;37;Carvalhos;27;66;;0,510031679;0,507;4735;5653,87
2010;37;Carvalhos;21;46;;0,534899034;0,646;4556;5882,91
2011;37;Carvalhos;26;60;;0,53488884;0,646;4543;6501,53
2012;37;Carvalhos;45;110;;0,534878587;0,646;4530;7973,49
2013;37;Carvalhos;1;1;;0,534938723;0,646;4651;9466,15
2014;37;Carvalhos;0;0;;0,534898751;0,646;4642;9583,78
2008;38;Caxambu;22;73;0;1,131588733;0,649;21514;6636,03
2009;38;Caxambu;30;90;0;1,155429051;0,649;21431;6985,26
2010;38;Caxambu;36;132;0;0,979129233;0,743;21705;9148,43
2011;38;Caxambu;6;29;0;0,979144558;0,743;21673;9673,22
2012;38;Caxambu;1;3;0;0,979113719;0,743;21641;11538,15
2013;38;Caxambu;3;19;1;0,979107696;0,743;22257;12094,48
2014;38;Caxambu;5;41;0;0,979140442;0,743;22244;12686,74
2008;39;Cláudio;134;436;1;0,783151326;0,597;25640;10135,17
2009;39;Cláudio;76;240;1;0,783946334;0,597;25938;10042,96
2010;39;Cláudio;102;307;1;0,812618835;0,709;25771;12467,51
2011;39;Cláudio;68;177;1;0,820837016;0,709;26021;13317,73
2012;39;Cláudio;64;216;1;0,820843805;0,709;26262;14543,45
2013;39;Cláudio;24;79;1;0,820833791;0,709;27321;16206,04
2014;39;Cláudio;17;57;0;0,820841945;0,709;27579;18009,23
2008;40;Conceição do Mato Dentro;55;241;0;0,477583791;0,43;18558;5796,4
2009;40;Conceição do Mato Dentro;51;177;0;0,46967735;0,43;18534;5999,93
2010;40;Conceição do Mato Dentro;55;161;0;0,4860956;0,634;17908;8702,39
2011;40;Conceição do Mato Dentro;65;219;0;0,529546855;0,634;17853;9424,04
2012;40;Conceição do Mato Dentro;47;161;0;0,5751208;0,634;17798;17488,1
2013;40;Conceição do Mato Dentro;41;197;1;0,648880862;0,634;18273;20935,03
2014;40;Conceição do Mato Dentro;29;113;0;0,68511105;0,634;18235;19265,11
2008;41;Congonhas;75;251;1;0,776245163;0,637;48066;17714,67
2009;41;Congonhas;28;78;0;0,781827884;0,637;48723;18056,35
2010;41;Congonhas;10;37;0;0,799810384;0,753;48519;39601,93
2011;41;Congonhas;12;49;0;0,814332579;0,753;49077;56139,33
2012;41;Congonhas;24;77;1;0,836262496;0,753;49616;62823,77
2013;41;Congonhas;17;66;0;0,827341469;0,753;51709;66533,98
2014;41;Congonhas;20;87;0;0,848986228;0,753;52280;68635,77
2008;42;Conselheiro Lafaiete;429;1414;2;0,901951116;0,666;113576;7507,81
2009;42;Conselheiro Lafaiete;307;1066;4;0,938348214;0,666;114579;7825,74
2010;42;Conselheiro Lafaiete;372;1165;0;0,954974595;0,761;116512;9696,81
2011;42;Conselheiro Lafaiete;251;769;1;0,954976948;0,761;117562;10860,07
2012;42;Conselheiro Lafaiete;492;1455;0;0,954974785;0,761;118578;12827,32
2013;42;Conselheiro Lafaiete;315;848;0;0,954970594;0,761;123275;13925,52
2014;42;Conselheiro Lafaiete;386;1048;1;0,954973064;0,761;124370;14455,86
2008;43;Contagem;82;392;2;0,788664976;0,651;617749;24070,88
2009;43;Contagem;113;457;1;0,893836356;0,651;625393;24641,23
2010;43;Contagem;133;619;1;0,954182838;0,756;603442;31743,14
2011;43;Contagem;95;452;1;0,974935725;0,756;608715;33219,02
2012;43;Contagem;99;327;2;0,982590846;0,756;613815;36780,63
2013;43;Contagem;65;348;0;0,986411395;0,756;637961;38181,58
2014;43;Contagem;101;429;0;0,996616812;0,756;643476;40833,12
2008;44;Coração de Jesus;90;551;2;0,127282154;0,517;27003;4369,6
2009;44;Coração de Jesus;47;231;0;0,187310955;0,517;27110;5089,39
2010;44;Coração de Jesus;44;198;1;0,302500672;0,642;26033;4936,38
2011;44;Coração de Jesus;34;185;2;0,317496258;0,642;26057;5636,4
2012;44;Coração de Jesus;16;63;1;0,219832049;0,642;26079;11695,4
2013;44;Coração de Jesus;6;31;0;0,240172561;0,642;26889;7132,94
2014;44;Coração de Jesus;4;9;0;0,258270523;0,642;26933;6555,58
2008;45;Coronel Fabriciano;166;558;1;0,938208112;0,648;104415;6339,61
2009;45;Coronel Fabriciano;134;471;1;0,959890324;0,648;105037;6893,8
2010;45;Coronel Fabriciano;102;351;1;0,987472756;0,755;103694;8863,84
2011;45;Coronel Fabriciano;27;80;0;0,987472882;0,755;104174;10283,96
2012;45;Coronel Fabriciano;9;30;0;0,987470971;0,755;104637;11483,22
2013;45;Coronel Fabriciano;35;165;5;0,987470222;0,755;108302;12832,44
2014;45;Coronel Fabriciano;22;76;1;0,987468188;0,755;108843;13725,15
2008;46;Curvelo;83;342;1;0,691112634;0,608;74409;8417,51
2009;46;Curvelo;54;222;2;0,750569613;0,608;75051;8832,3
2010;46;Curvelo;68;254;0;0,80727307;0,713;74219;10786,65
2011;46;Curvelo;45;192;0;0,839109375;0,713;74734;11265,67
2012;46;Curvelo;61;468;0;0,870424187;0,713;75014;14129,33
2013;46;Curvelo;38;196;3;0,891460218;0,713;77824;15679,84
2014;46;Curvelo;33;153;2;0,907876437;0,713;78373;15874,71
2008;47;Diamantina;67;231;2;0,645048905;0,602;46212;5977,56
2009;47;Diamantina;24;130;0;0,698223066;0,602;46372;6202,71
2010;47;Diamantina;20;97;2;0,72048823;0,716;45880;8324,22
2011;47;Diamantina;17;95;0;0,934920117;0,716;46005;9157,78
2012;47;Diamantina;18;66;0;1,014135501;0,716;46125;10586,07
2013;47;Diamantina;12;39;2;0,805150377;0,716;47647;11821,71
2014;47;Diamantina;11;50;0;0,952408845;0,716;47803;12758,94
2008;48;Divisópolis;82;295;;0,018587809;0,445;8285;4952,06
2009;48;Divisópolis;86;326;;0,052936311;0,445;8463;5366,98
2010;48;Divisópolis;133;341;;0,079674616;0,609;8974;4691,53
2011;48;Divisópolis;221;624;;0,124590879;0,609;9166;5785,53
2012;48;Divisópolis;175;531;;0,17730724;0,609;9351;5227,45
2013;48;Divisópolis;50;139;;0,248424477;0,609;9838;5395,66
2014;48;Divisópolis;51;153;;0,255609853;0,609;10027;5958,94
2008;49;Dores do Indaiá;39;140;2;1,023504868;0,603;14380;7982,87
2009;49;Dores do Indaiá;21;54;0;1,062230266;0,603;14366;8182,53
2010;49;Dores do Indaiá;27;75;1;0,915517492;0,719;13778;8815,03
2011;49;Dores do Indaiá;11;25;0;0,915525779;0,719;13732;10203,73
2012;49;Dores do Indaiá;5;11;0;0,915534122;0,719;13686;11275,88
2013;49;Dores do Indaiá;14;32;0;0,915503986;0,719;14048;12093,64
2014;49;Dores do Indaiá;37;97;0;0,915513058;0,719;14014;13127,97
2008;50;Elói Mendes;24;94;1;0,65032913;0,618;25218;10991,81
2009;50;Elói Mendes;25;56;0;0,99796334;0,618;25532;9716,05
2010;50;Elói Mendes;27;67;0;0,807850912;0,685;25220;12375,27
2011;50;Elói Mendes;12;85;0;0,807867462;0,685;25472;14683,44
2012;50;Elói Mendes;21;56;0;0,800233327;0,685;25715;14370,42
2013;50;Elói Mendes;16;41;1;0,807840353;0,685;26759;12487,8
2014;50;Elói Mendes;12;25;0;0,807838928;0,685;27019;17255,78
2008;51;Esmeraldas;7;27;0;0,13732485;0,538;58307;4746,23
2009;51;Esmeraldas;17;66;0;0,153884999;0,538;59408;4902,47
2010;51;Esmeraldas;23;94;1;0,154402615;0,671;60271;5410,3
2011;51;Esmeraldas;5;14;0;0,156731883;0,671;61283;6113,44
2012;51;Esmeraldas;7;38;0;0,151858276;0,671;62262;6926,69
2013;51;Esmeraldas;4;16;0;0,148058997;0,671;65224;7310,24
2014;51;Esmeraldas;7;47;0;0,177468786;0,671;66237;7926,89
2008;52;Extrema;111;238;1;0,823800878;0,607;26436;47366,93
2009;52;Extrema;68;167;0;0,821395691;0,607;27155;51346,8
2010;52;Extrema;61;212;0;0,825413476;0,732;28599;65983,88
2011;52;Extrema;60;134;0;0,844435349;0,732;29319;81418,03
2012;52;Extrema;58;122;0;0,88063033;0,732;30016;103412,75
2013;52;Extrema;39;99;1;0,874672641;0,732;31693;128859,55
2014;52;Extrema;21;51;0;0,909912968;0,732;32402;144320,88
2008;53;Formiga;109;415;1;0,887497382;0,655;66834;9983,7
2009;53;Formiga;115;395;4;0,900607342;0,655;67178;10409,2
2010;53;Formiga;111;383;4;0,918330058;0,755;65128;13512,63
2011;53;Formiga;84;293;2;0,923903888;0,755;65299;15089,06
2012;53;Formiga;131;441;4;0,923973482;0,755;65464;16744,21
2013;53;Formiga;59;215;1;0,942706716;0,755;67617;17261,02
2014;53;Formiga;117;402;6;0,940250321;0,755;67833;18976,54
2008;54;Francisco Sá;37;127;1;0,444586629;0,48;25788;5704,71
2009;54;Francisco Sá;26;83;1;0,467954143;0,48;25994;6127,32
2010;54;Francisco Sá;16;47;0;0,480611753;0,654;24912;6054,91
2011;54;Francisco Sá;19;55;1;0,506355932;0,654;25016;8331,21
2012;54;Francisco Sá;8;18;0;0,504339863;0,654;25116;9202,97
2013;54;Francisco Sá;36;241;1;0,499903783;0,654;25983;11768,82
2014;54;Francisco Sá;24;131;1;0,509960923;0,654;26102;11975,23
2008;55;Frutal;90;273;1;0,857877029;0,643;54094;12796,54
2009;55;Frutal;61;186;0;0,872288805;0,643;54819;14347,19
2010;55;Frutal;31;68;0;0,86199222;0,73;53468;14502,77
2011;55;Frutal;35;98;2;0,861994889;0,73;53998;17901,74
2012;55;Frutal;31;78;0;0,861991158;0,73;54511;19729,38
2013;55;Frutal;80;205;4;0,861988717;0,73;56720;21667,03
