Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
2009;44;Coração de Jesus;0,000143857;2;0;0,187310955;0,517;27110;5089,39;0,000527755;0
2010;44;Coração de Jesus;0,000725128;2,533333333;0;0,302500672;0,642;26033;4936,38;-0,008056008;0
2011;44;Coração de Jesus;0,00062811;3,153846154;0;0,317496258;0,642;26057;5636,4;0,000531761;0,441340139
2012;44;Coração de Jesus;0,000386343;2,75;0;0,219832049;0,642;26079;11695,4;0,000483162;0,440967829
2013;44;Coração de Jesus;0,001124649;2,333333333;0;0,240172561;0,642;26889;7132,94;0,030569373;0,427684183
2014;44;Coração de Jesus;0,001076426;2,695652174;0;0,258270523;0,642;26933;6555,58;0,00126523;0,445550069
2008;45;Coronel Fabriciano;0,002811475;3,092592593;0,018518519;0,938208112;0,648;104415;6339,61;0,028211991;0,163788728
2009;45;Coronel Fabriciano;0,004635175;2,685393258;0,011235955;0,959890324;0,648;105037;6893,8;-0,000312386;0,166569875
2010;45;Coronel Fabriciano;0,002587456;2,56;0;0,987472756;0,755;103694;8863,84;0,006405916;0,139188381
2011;45;Coronel Fabriciano;0,002740151;2,490566038;0,018867925;0,987472882;0,755;104174;10283,96;0,000931484;0,138671838
2012;45;Coronel Fabriciano;0,003771051;2,794520548;0;0,987470971;0,755;104637;11483,22;0,000827215;0,138172922
2013;45;Coronel Fabriciano;0,002505136;3;0,02;0,987470222;0,755;108302;12832,44;0,031046596;0,137642887
2014;45;Coronel Fabriciano;0,003001351;2,616666667;0;0,987468188;0,755;108843;13725,15;0,001603287;0,13717924
2008;46;Curvelo;0,001201201;3,71875;0,0625;0,691112634;0,608;74409;8417,51;0,037080292;0,675697832
2009;46;Curvelo;0,000782808;5,380952381;0;0,750569613;0,608;75051;8832,3;0,007000751;0,673835125
2010;46;Curvelo;1,94009E-05;19;0;0,80727307;0,713;74219;10786,65;-0,039308147;0,659696304
2011;46;Curvelo;5,7999E-05;6;0;0,839109375;0,713;74734;11265,67;0,003511563;0,692121391
2012;46;Curvelo;9,63391E-05;4,4;0,2;0,870424187;0,713;75014;14129,33;0,003383277;0,691870851
2013;46;Curvelo;9,31862E-05;7,4;0;0,891460218;0,713;77824;15679,84;0,033834297;0,666889391
2014;46;Curvelo;9,2816E-05;5;0;0,907876437;0,713;78373;15874,71;0,00398837;0,65272479
2008;47;Diamantina;0;0;0;0,645048905;0,602;46212;5977,56;0,031718369;0,243443261
