Id;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
126;0,017687145;3,139030927;0;0,274275629;0,602714286;37992,42857;5274,387143;0,012892347;0,199869564
128;0,001045219;5,463827839;0,008928571;0,943222645;0,75;133377,8571;28325,88571;0,00595831;0,017546524
129;0,0020886;3,014922379;0,019230769;0,57811264;0,624428571;24197,42857;7616,508571;0,009341162;0,444412218
130;0,003944883;4,852704204;0;0,754698854;0,653428571;317649,1429;7085,5;0,012085649;0,011080661
132;0,007629903;3,175354686;0,004517065;0,858512827;0,702285714;24143,71429;27191,41714;0,009686986;0,40477899
133;0,004615714;3,901997771;0,011016209;0,721907559;0,637857143;39650,28571;8578,782857;0,005881069;0,260376638
134;0,010118364;3,502899595;0;0,863851661;0,684428571;214307,8571;11557,39;-0,003094976;0,032000478
135;0,001577745;2,837053068;0,008064516;0,540172167;0,6445;9175,75;10534,09;0,007444556;0,236817326
136;0,001494682;2,647963756;0,008928571;0,866496144;0,701857143;38284,42857;25543,02143;0,006575417;0,32962621
137;0,004736922;3,945901793;0,019652165;0,855959839;0,695142857;26428,14286;11970,44571;0,004073636;0,238136527
138;0,001783113;2,802276295;0;0,332886343;0,594285714;54888,85714;5261,931429;0,007242583;0,07831292
139;0,002938449;2,767403696;0,021787241;0,870527414;0,704857143;32716,85714;13149,22429;0,009681084;0,503231357
140;0,001851484;3,357142857;0;0,827595897;0,607;7117;48417,48;0,039310013;0
141;0,000860756;3,498858682;0,011745919;0,102710681;0,733714286;86068,71429;13810,10571;0,015057954;0,966079868
143;0,008617555;2,13801522;0,001638767;0,979683343;0,741857143;42768,14286;13566,10286;0,024472102;0,792952754
144;0,000614346;6,430694306;0,023809524;0,615590469;0,629666667;10724,83333;8314,608333;0,030078344;0,25542113
145;0,019022842;2,746026264;0,000840336;0,393760089;0,609428571;21189,57143;6713,557143;0,001597759;0,238305192
146;0,000728892;2,040178571;0;0,949570076;0,731428571;221958;28321,33571;0,010521135;0,017614533
147;0,00052372;4,257013786;0,010204082;0,784444289;0,669;135302,8571;11629,72;0,026993759;0,037852597
148;0,000702769;5,759076746;0,015550467;0,896583889;0,712857143;74958,14286;21438,45714;0,010956243;0,214489532
149;0,00051861;5,48384196;0,041298738;0,843503497;0,720285714;28957,42857;34226,62714;0,006840424;0,374747067
150;0,000174381;1,178571429;0;0,871069053;0,701;54691,57143;13636,37714;-0,013091994;0,050630391
151;0,001056968;1,433130699;0,003039514;0,856143493;0,694714286;24411,71429;14889,20857;0,000456145;0,199917134
152;0,004660553;3,029532184;0,006235813;0,591327867;0,634571429;18447,85714;9068,66;0,007704286;0,611961381
153;0,004405452;3,212414195;0,028089403;0,979198638;0,749142857;302969;28128,87429;0,006274699;0,03426316
154;0,000519634;4,497568489;0,03720938;0,967903173;0,764142857;627656,1429;33122,72429;0,012458135;0,118650394
155;0,000818625;3,92064537;0;0,729572108;0,711714286;79137,28571;21907,85571;0,014773412;0,435647672
156;0,001406061;3,025;0;0,628240566;0,632285714;4522;21053,84857;0,02178506;0,052901117
157;0,009860593;3,039050202;0,001264223;0,988356037;0,756285714;125190,7143;28439,28714;0,001288278;0,031924827
159;0,000605323;2,826530612;0;0,132925945;0,544;19458;4969,522857;0,027990178;0,191726877
160;0,000931465;3,86526866;0,032092907;0,801892363;0,706857143;20062;20400,51429;0,011865523;0,086993698
161;0,00040308;3,103896104;0;0,851201425;0,662285714;107465,2857;17170,79;0,003244222;0,050185046
162;0,000821417;3,723715868;0,022838815;0,905443522;0,747;74109,14286;6782,594286;0,017121811;0,61872139
