"Ano","Id","Município","N. Internação","Dias de Permanência","N. Óbitos","Prop Inter / Total Pop","Prop Dias Perm / Internações","Prop de Óbitos / Inter","IDHM","PIB per Capita série revisada","POP_TOT - População total do município do ano de referência (Fonte: IBGE):","ES001 - População total atendida com esgotamento sanitário","ES002 - Quantidade de ligações ativas de esgotos","ES005 - Volume de esgotos coletado","ES006 - Volume de esgotos tratado","IN015_AE - Índice de coleta de esgoto","IN016_AE - Índice de tratamento de esgoto","IN046_AE - Índice de esgoto tratado referido à água consumida","IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água"
"2013",259,"São Gotardo",23,82,1,6.809972167939835E-4,3.5652173913043477,0.043478260869565216,0.736,16132.48,33774,30688,10147,1126.87,0.0,69.08,0.0,0.0,90.86
"2014",259,"São Gotardo",23,66,0,6.743483742340282E-4,2.869565217391304,0.0,0.736,16691.49,34107,31466,10440,1127.93,0.0,68.31,0.0,0.0,92.26
"2008",261,"São João del Rei",163,505,1,0.0019192275991993407,3.098159509202454,0.006134969325153374,0.673,9868.08,84930,7479,2634,211.7,211.7,63.96,100.0,63.96,8.81
"2009",261,"São João del Rei",104,309,1,0.0012163315907044198,2.9711538461538463,0.009615384615384616,0.673,9617.93,85503,7479,2649,231.1,231.1,68.85,100.0,68.85,8.75
"2010",261,"São João del Rei",128,390,5,0.0015153488261965928,3.046875,0.0390625,0.758,12146.86,84469,7953,2807,252.13,252.13,66.72,100.0,66.72,9.42
"2011",261,"São João del Rei",62,278,1,7.301075142194327E-4,4.483870967741935,0.016129032258064516,0.758,14261.6,84919,8553,3024,277.37,277.37,67.38,100.0,67.38,10.07
"2012",261,"São João del Rei",104,363,0,0.0012184691809309573,3.4903846153846154,0.0,0.758,15488.8,85353,9555,3399,298.73,298.73,68.72,100.0,68.72,11.19
"2013",261,"São João del Rei",106,289,0,0.0011990272043436458,2.7264150943396226,0.0,0.758,16952.55,88405,10203,3672,327.58,327.58,70.7,100.0,70.7,11.54
"2014",261,"São João del Rei",150,428,1,0.0016872511304582573,2.8533333333333335,0.006666666666666667,0.758,18334.92,88902,10776,3880,358.42,358.42,69.61,100.0,69.61,12.12
"2008",262,"São João do Paraíso",55,211,0,0.0024298652529268832,3.8363636363636364,0.0,0.443,4125.36,22635,2901,927,20.68,17.73,5.27,85.74,4.52,12.82
"2009",262,"São João do Paraíso",65,207,0,0.002853129663769643,3.1846153846153844,0.0,0.443,4289.74,22782,6613,2068,154.82,152.36,37.96,98.41,37.35,29.03
"2010",262,"São João do Paraíso",66,227,1,0.002957121734844751,3.4393939393939394,0.015151515151515152,0.615,4934.11,22319,7628,2400,181.35,181.35,45.03,100.0,45.03,34.18
"2011",262,"São João do Paraíso",45,157,2,0.002007136485280999,3.488888888888889,0.044444444444444446,0.615,5237.79,22420,8797,2804,205.21,205.21,49.14,100.0,49.14,39.24
"2012",262,"São João do Paraíso",23,79,0,0.0010214504596527069,3.4347826086956523,0.0,0.615,6074.33,22517,5022,1633,123.74,123.74,28.14,100.0,28.14,22.3
"2013",262,"São João do Paraíso",40,110,1,0.0017165171866283311,2.75,0.025,0.615,6181.01,23303,5651,1854,132.19,129.37,30.18,97.87,29.54,24.25
"2014",262,"São João do Paraíso",53,231,3,0.0022633129777512064,4.3584905660377355,0.05660377358490566,0.615,7313.49,23417,6693,2176,154.9,154.9,34.34,100.0,34.34,28.58
"2008",263,"São Lourenço",76,264,1,0.0018015882422662084,3.473684210526316,0.013157894736842105,0.699,8339.79,42185,38107,12367,2193.99,0.0,80.0,0.0,0.0,90.33
"2009",263,"São Lourenço",59,174,0,0.0013821214392803597,2.9491525423728815,0.0,0.699,8679.12,42688,42688,12622,2254.0,0.0,79.99,0.0,0.0,100.0
"2010",263,"São Lourenço",73,248,1,0.0017524065583215307,3.3972602739726026,0.0136986301369863,0.759,12455.69,41657,41657,13124,2464.0,0.0,84.99,0.0,0.0,100.0
"2011",263,"São Lourenço",51,163,1,0.00121367887484829,3.196078431372549,0.0196078431372549,0.759,14017.17,42021,41657,13513,2388.0,0.0,80.0,0.0,0.0,99.13
"2012",263,"São Lourenço",26,107,0,6.136127631454734E-4,4.115384615384615,0.0,0.759,16109.11,42372,41657,13894,2479.0,0.0,79.99,0.0,0.0,98.31
"2013",263,"São Lourenço",17,51,0,3.8603901264845473E-4,3.0,0.0,0.759,16943.81,44037,43596,14263,2523.0,0.0,79.99,0.0,0.0,99.0
"2014",263,"São Lourenço",15,45,0,3.377085350203751E-4,3.0,0.0,0.759,18418.03,44417,43973,14621,2525.28,0.0,80.0,0.0,0.0,99.0
"2008",267,"São Tiago",12,56,0,0.0011303692539562924,4.666666666666667,0.0,0.565,6388.31,10616,4712,1658,125.61,125.61,38.34,100.0,38.34,44.39
"2009",267,"São Tiago",11,57,0,0.0010333489901362142,5.181818181818182,0.0,0.565,6529.86,10645,7060,2482,195.31,195.31,56.43,100.0,56.43,66.32
"2010",267,"São Tiago",13,57,0,0.0012309440393902093,4.384615384615385,0.0,0.662,6926.53,10561,7260,2560,219.21,219.21,61.03,100.0,61.03,68.74
"2011",267,"São Tiago",6,23,0,5.667863215567731E-4,3.8333333333333335,0.0,0.662,7986.67,10586,7505,2657,226.75,226.75,60.63,100.0,60.63,70.9
"2012",267,"São Tiago",15,70,1,0.0014138938637006315,4.666666666666667,0.06666666666666667,0.662,9876.36,10609,6139,2180,186.78,186.78,48.72,100.0,48.72,57.87
"2013",267,"São Tiago",23,123,1,0.0020994979461433135,5.3478260869565215,0.043478260869565216,0.662,10476.92,10955,6408,2299,189.71,189.71,48.81,100.0,48.81,58.49
"2014",267,"São Tiago",45,215,0,0.004096122337520481,4.777777777777778,0.0,0.662,11579.36,10986,6648,2390,190.75,184.29,49.22,96.61,47.56,60.51
"2008",269,"Serro",83,282,0,0.0038615427561179863,3.397590361445783,0.0,0.493,4852.25,21494,6357,1897,39.21,0.0,8.89,0.0,0.0,29.58
"2009",269,"Serro",29,98,1,0.0013472706155632985,3.3793103448275863,0.034482758620689655,0.493,5217.19,21525,6903,2049,184.81,0.0,42.46,0.0,0.0,32.07
"2010",269,"Serro",43,154,0,0.0020638348932085432,3.5813953488372094,0.0,0.656,5792.98,20835,8169,2444,223.54,168.56,50.87,75.4,38.36,39.21
"2011",269,"Serro",52,179,0,0.002497358563058304,3.4423076923076925,0.0,0.656,6272.73,20822,8663,2623,240.33,240.33,53.15,100.0,53.15,41.61
"2012",269,"Serro",55,186,2,0.002643087125762891,3.381818181818182,0.03636363636363636,0.656,7288.93,20809,8982,2734,245.57,245.57,53.82,100.0,53.82,43.16
"2013",269,"Serro",36,133,0,0.0016807507353284467,3.6944444444444446,0.0,0.656,8450.15,21419,9370,2852,271.2,271.2,55.29,100.0,55.29,43.75
