ano;id;prop_intern_pop;prop_dias_perm_intern;prop_obitos;pop_total;qntd_lig_ativa_esg;qntd_econ_ativa_esg;vol_esg_coletado;vol_esg_tratado;vol_esg_fat;qntd_res_ativ_esg;qntd_lig_total_esg;ind_coleta_esg;ind_trata_esg;ext_rede_esg_lig;ind_atend_esg_mun_atend_agua;ind_esg_trat_agua_cons;ind_atend_esg_mun_esg;ind_atend_esg_mun_agua;rec_oper_dir_agua;rec_oper_dir_esg;rec_oper_indireta;desp_explor;inv_esg_sanit_prest_serv;inv_realiz_esg_sanit_mun;inv_realiz_esg_estado;desp_total_serv_m3_fat;tarifa_med_prat;tar_media_agua;tar_media_esg;desp_explor_m3_fat;desp_explor_econ;margem_desp_explor
2010;122;0,003094;6,670715;0,016194;239468,000000;64471,000000;82118,000000;8995,880000;8995,880000;11847,850000;73197,000000;64471,000000;0,850900;1,000000;5,290000;1,000000;0,850900;1,000000;0,989600;34574987,180000;22844475,350000;1604623,980000;38075601,120000;112581,000000;0,000000;0,000000;2,460000;2,500000;3,120000;1,930000;1,660000;245,490000;66,310000
2011;122;0,002579;7,308186;0,024077;241539,000000;66058,000000;84662,000000;9125,990000;9125,990000;12093,390000;75238,000000;66058,000000;0,850000;1,000000;5,150000;1,000000;0,850000;1,000000;0,989600;34892106,210000;26959503,590000;1273196,120000;39059277,070000;0,000000;;;2,350000;2,650000;3,090000;2,230000;1,670000;243,090000;63,150000
2012;122;0,002115;6,120388;0,007767;243541,000000;67526,000000;86953,000000;9226,380000;9226,380000;12334,030000;77292,000000;67526,000000;0,845700;1,000000;5,040000;1,000000;0,845700;1,000000;0,989600;34946454,140000;32525607,450000;1545150,700000;41990673,520000;180104,000000;;;2,660000;2,830000;3,040000;2,640000;1,760000;253,790000;62,230000
2013;122;0,001067;6,240741;0,025926;253098,000000;68887,000000;89424,000000;9192,610000;9192,610000;12338,360000;79534,000000;68887,000000;0,846300;1,000000;4,950000;1,000000;0,846300;1,000000;0,989600;35203292,510000;34888545,080000;1421261,660000;45667090,560000;239547,000000;0,000000;0,000000;2,660000;2,940000;3,060000;2,830000;1,920000;268,150000;65,150000
2014;122;0,001022;5,559387;0,022989;255266,000000;69662,000000;91371,000000;9236,830000;9236,830000;12429,430000;81208,000000;69662,000000;0,846800;1,000000;4,880000;1,000000;0,846800;1,000000;0,989600;37262189,910000;36571077,900000;1649711,120000;46192248,330000;0,000000;0,000000;0,000000;2,750000;3,070000;3,210000;2,940000;1,920000;264,590000;62,560000
2008;123;0,003913;2,882353;0,000000;4345,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;;;;;;;;;;;;;;
2009;123;0,011888;2,923077;0,000000;4374,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;;;;;;;;;;;;;;
2010;123;0,014366;3,000000;0,000000;4107,000000;1460,000000;1460,000000;235,240000;0,000000;0,000000;1460,000000;1510,000000;0,460400;0,000000;19,870000;1,000000;0,000000;1,000000;0,910900;288000,000000;0,000000;0,000000;465800,000000;0,000000;;;0,910000;0,560000;0,560000;;0,910000;156,840000;161,740000
2011;123;0,000972;2,500000;0,000000;4114,000000;1460,000000;1460,000000;235,240000;0,000000;235,240000;1460,000000;1510,000000;0,840100;0,000000;19,870000;0,998400;0,000000;0,998400;0,909300;300000,000000;120000,000000;92000,000000;634000,000000;;35000,000000;0,000000;1,230000;0,820000;1,070000;0,510000;1,230000;213,470000;150,950000
2012;123;0,003641;2,266667;0,000000;4120,000000;1580,000000;1580,000000;242,270000;0,000000;242,270000;1580,000000;1650,000000;0,821300;0,000000;13,290000;0,996800;0,000000;0,996800;0,908000;277000,000000;118000,000000;117000,000000;697500,000000;;15000,000000;0,000000;1,300000;0,740000;0,940000;0,490000;1,300000;227,570000;176,580000
2013;123;0,000000;0,000000;0,000000;4250,000000;1660,000000;1660,000000;250,300000;0,000000;250,300000;1660,000000;1700,000000;0,834300;0,000000;7,160000;0,983000;0,000000;0,983000;0,895300;285000,000000;120000,000000;130000,000000;812700,000000;;17000,000000;0,000000;1,480000;0,740000;0,950000;0,480000;1,480000;250,830000;200,670000
2014;123;0,000000;0,000000;0,000000;4260,000000;1670,000000;1680,000000;265,000000;0,000000;250,300000;1680,000000;1710,000000;0,883300;0,000000;7,040000;1,000000;0,000000;1,000000;0,910800;287000,000000;120500,000000;127500,000000;831600,000000;;17000,000000;0,000000;1,510000;0,740000;0,960000;0,480000;1,510000;248,980000;204,070000
2008;124;0,002421;2,652174;0,000000;9501,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;912599,800000;;25802,060000;538145,570000;0,000000;;;2,040000;2,540000;2,540000;;1,500000;215,650000;58,970000
2009;124;0,000524;2,800000;0,000000;9549,000000;1829,000000;2026,000000;165,580000;0,000000;224,770000;1763,000000;1835,000000;0,492100;0,000000;12,000000;0,803300;0,000000;0,803300;0,628000;945377,910000;393384,390000;30472,590000;799339,160000;293210,000000;0,000000;0,000000;1,850000;2,290000;2,640000;1,750000;1,370000;174,830000;59,710000
2010;124;0,000315;2,333333;0,000000;9521,000000;1909,000000;2111,000000;211,520000;0,000000;287,640000;1824,000000;1909,000000;0,605600;0,000000;10,980000;0,830200;0,000000;0,830200;0,649400;995133,780000;348331,510000;31412,840000;949941,780000;0,000000;0,000000;0,000000;2,070000;2,040000;2,680000;1,210000;1,440000;201,070000;70,710000
2011;124;0,000209;4,000000;0,000000;9565,000000;2035,000000;2228,000000;221,490000;0,570000;301,030000;1914,000000;2035,000000;0,613700;0,002600;11,140000;0,867100;0,001600;0,867100;0,678300;1040260,790000;367035,500000;21297,230000;1017386,710000;0,000000;;;1,990000;2,050000;2,700000;1,220000;1,480000;205,950000;72,290000
2012;124;0,000000;0,000000;0,000000;9607,000000;2093,000000;2260,000000;219,750000;0,160000;300,220000;1937,000000;2093,000000;0,617700;0,000700;12,040000;0,873700;0,000400;0,873700;0,683500;1058017,100000;405388,890000;26836,840000;1057899,220000;0,000000;;;2,250000;2,150000;2,780000;1,350000;1,550000;208,100000;72,290000
2013;124;0,000201;2,000000;0,000000;9942,000000;2145,000000;2296,000000;222,910000;0,000000;305,010000;1977,000000;2145,000000;0,621500;0,000000;11,760000;0,861800;0,000000;0,861800;0,674100;1123455,520000;443478,460000;28939,890000;1165908,800000;0,000000;0,000000;0,000000;2,240000;2,260000;2,900000;1,450000;1,680000;225,840000;74,410000
2014;124;0,000300;2,666667;0,000000;9991,000000;2191,000000;2322,000000;221,980000;0,000000;304,270000;2003,000000;2191,000000;0,617800;0,000000;11,540000;0,868700;0,000000;0,868700;0,679600;1165229,040000;454051,280000;18349,190000;1102763,970000;0,000000;0,000000;0,000000;2,210000;2,330000;2,990000;1,490000;1,590000;210,190000;68,100000
2008;125;0,000421;7,000000;0,086957;109380,000000;25121,000000;26946,000000;3125,300000;1660,400000;3125,300000;26544,000000;25121,000000;0,550300;0,531300;8,220000;0,964800;0,292400;0,964800;0,942600;9124200,560000;4912953,900000;864234,770000;15079469,600000;420618,050000;;;1,480000;1,370000;1,290000;1,570000;1,480000;270,900000;107,430000
2009;125;0,000571;6,428571;0,047619;110419,000000;25760,000000;27709,000000;3150,000000;1530,000000;3150,000000;27213,000000;25760,000000;0,612400;0,485700;8,250000;0,960800;0,297400;0,960800;0,945500;10484689,000000;5718322,000000;853890,000000;16746181,000000;869451,000000;1494876,000000;0,000000;1,900000;1,830000;1,830000;1,820000;1,890000;292,730000;103,350000
2010;125;0,000537;4,915254;0,016949;109783,000000;26956,000000;28431,000000;4443,250000;2128,000000;3816,000000;27884,000000;26956,000000;0,764900;0,487900;8,250000;0,966700;0,366300;0,966700;0,955700;9733889,210000;5299017,130000;839235,100000;16676326,890000;129563,900000;;;1,570000;1,410000;1,420000;1,420000;1,560000;285,060000;110,860000
2011;125;0,000443;5,061224;0,000000;110663,000000;25589,000000;29127,000000;4831,490000;2522,190000;4538,890000;28569,000000;27645,000000;0,800000;0,522200;8,000000;0,924500;0,417600;0,924500;0,890700;10569126,670000;5736680,040000;587470,180000;16820990,000000;117940,000000;4898518,050000;;1,390000;1,350000;1,400000;1,260000;1,390000;280,750000;103,000000
2012;125;0,000377;6,428571;0,023810;111514,000000;28250,000000;30078,000000;5131,930000;1617,600000;4238,250000;28596,000000;28250,000000;0,800000;0,315600;8,010000;0,926600;0,252200;0,926600;0,892700;11547637,810000;6302877,320000;588361,780000;17035138,240000;68832,170000;6254451,790000;;1,510000;1,620000;1,630000;1,490000;1,510000;276,420000;93,020000
2013;125;0,000389;6,533333;0,044444;115817,000000;30287,000000;32366,000000;5369,260000;2358,790000;3702,000000;30355,000000;30287,000000;0,802700;0,439600;7,830000;0,900200;0,352600;0,900200;0,867300;12499184,580000;6831497,200000;486438,860000;16746435,830000;232343,870000;0,000000;;1,620000;1,870000;1,870000;1,850000;1,610000;257,370000;86,170000
2014;125;0,000685;4,562500;0,012500;116745,000000;30990,000000;35247,000000;5388,960000;2703,010000;4819,910000;30348,000000;30990,000000;0,800000;0,501900;7,520000;0,931400;0,401300;0,931400;0,893900;12390181,090000;6762338,410000;452600,050000;18214702,600000;959391,540000;0,000000;;1,580000;1,660000;1,840000;1,400000;1,580000;259,320000;94,860000
2008;126;0,012763;3,072993;0,000000;10734,000000;1739,000000;1839,000000;165,000000;0,000000;220,940000;1664,000000;1750,000000;0,648400;0,000000;8,690000;0,724100;0,000000;0,724100;0,557100;694037,500000;251252,200000;27283,360000;763737,570000;0,000000;;;2,030000;1,900000;2,510000;1,140000;1,530000;193,380000;80,790000
2009;126;0,019410;3,000000;0,000000;10819,000000;1873,000000;1985,000000;181,480000;0,000000;244,720000;1761,000000;1883,000000;0,682300;0,000000;8,250000;0,759100;0,000000;0,759100;0,584100;764500,800000;282457,710000;28174,500000;832955,160000;0,000000;0,000000;0,000000;2,020000;1,960000;2,650000;1,150000;1,560000;201,290000;79,560000
