Ano;Id;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;% POP_TOT atendida com ES;IDHM;PIB per Capita série revisada;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2014;16;0,002208186;2,418604651;0;38946;0,881553946;0,749;33758,45;13634;2552;1997;1;0,7825;0,9331;0,8816
2008;17;0,005770118;3,72;0;12998;0;0,632;9283,09;;;;;;;
2009;17;0,002364788;3,903225806;0;13109;0;0,632;9725,12;;;;;;;
2010;17;0,002528929;3,212121212;0;13049;0;0,694;12434,69;;;;;;;
2011;17;0,002586535;3;0;13145;0;0,694;11863,83;;;;;;;
2012;17;0,002644104;3,114285714;0;13237;1;0,694;14647,65;2970;640;0;1;0;0;1
2013;17;0,004658611;2,3125;0;13738;0,887319843;0,694;16335,78;3267;768;0;1;0;0;0,8873
2014;17;0,002817919;2,666666667;0;13840;0,880780347;0,694;19129,44;3434;837,5;0;1;0;0;0,8808
2008;18;0,008288735;2,472440945;0;15322;0,242592351;0,46;5351,24;1089;102,18;0;0,3822;0;0;0,2426
2009;18;0,008837884;2,388059701;0,029850746;15162;0,253594513;0,46;5557,83;1134;105,27;0;0,4077;0;0;0,2536
2010;18;0,009200969;2,443609023;0;14455;0,272639225;0,588;4877,62;1173;108,43;0;0,3701;0;0;0,2726
2011;18;0,009173669;3,404580153;0,015267176;14280;0,286204482;0,588;5921,84;1215;110,45;1,27;0,3864;0,0115;0,0044;0,2862
2012;18;0,008292579;3,64957265;0,017094017;14109;0,3005174;0,588;6743,78;1258;116,23;0,21;0,3988;0,0018;0,0007;0,3005
2013;18;0,004949805;3,295774648;0,014084507;14344;0,297336866;0,588;7364,77;1276;119,67;0;0,4021;0;0;0,2973
2014;18;0,006907246;2,959183673;0;14188;0,307654356;0,588;9148,8;1309;119,78;0;0,3647;0;0;0,3077
2008;19;0,00032538;4,111111111;0;27660;0;0,613;17312,89;;;;;;;
2009;19;0,000178101;3,6;0;28074;0;0,613;12437,66;;;;;;;
2010;19;0,000597708;3,176470588;0,058823529;28442;0,931720695;0,722;32362,95;8100;1230;0;1;0;0;0,9317
2011;19;0,000312175;5,111111111;0,222222222;28830;0,971210545;0,722;36294,51;9100;1512;0;1;0;0;0,9712
2012;19;0,000376648;2,636363636;0;29205;0,976545112;0,722;34773,09;9600;1335;0;0,9836;0;0;0,9765
2013;19;0,000163929;2,6;0;30501;0,93505131;0,722;41443,78;9700;1351,2;0;0,9271;0;0;0,9351
2014;19;0,000161849;4,4;0;30893;0,927718253;0,722;31258,16;9750;1358,02;0;0,9201;0;0;0,9277
2008;20;0,000596884;5,118421053;0,026315789;127328;0,834372644;0,664;10712,31;23071;2689,86;325,78;0,6975;0,1211;0,0845;0,8344
2009;20;0,000427776;4,618181818;0;128572;0,839016271;0,664;10386,55;24899;3215,57;332;0,815;0,1032;0,0841;0,839
2010;20;0,000451364;4,210526316;0;126284;0,880942954;0,769;12498,45;25534;3200,96;332,06;0,7384;0,1037;0,0766;0,8809
2011;20;0,000282979;5,611111111;0;127218;0,729778805;0,769;13480,45;26431;3264,83;322,53;0,7405;0,0988;0,0732;0,7298
2012;20;0,000187324;6,541666667;0;128120;0,738729316;0,769;14784,11;26954;3320,56;322,06;0,7437;0,097;0,0721;0,7387
2013;20;0,000293277;8,487179487;0,076923077;132980;0,744615732;0,769;15764,49;27880;3407,35;322,06;0,5485;0,0945;0,0518;0,7446
2014;20;0,000238856;7,09375;0,0625;133972;0,75732989;0,769;17014,04;28680;3974,46;875,48;0,6275;0,2203;0,1382;0,7573
2008;21;0,002886577;5,155172414;0;20093;0;0,602;9459,86;;;;;;;
2009;21;0,001925641;4,717948718;0;20253;0;0,602;10515,37;;;;;;;
2010;21;0,00102046;3,8;0;19599;0,726261544;0,734;13485,87;6028;821,25;;0,9817;;;0,7263
2011;21;0,00106626;3,80952381;0;19695;0,722721503;0,734;16004,06;6180;833,75;66,6;0,9454;0,0799;0,0755;0,7227
2012;21;0,00085915;4,176470588;0;19787;0,762318694;0,734;17086,72;6370;858,29;66,6;0,9466;0,0776;0,0735;0,7623
2013;21;0,001318102;3,222222222;0;20484;0,751074009;0,734;22284,95;6561;884,04;68,59;0,9473;0,0776;0,0735;0,7511
2014;21;0,000631374;4,846153846;0;20590;0,844341914;0,734;17768,89;6900;998,92;68,59;1;0,0687;0,0726;0,8443
2008;22;0,001326684;5,334674923;0,008049536;2434642;0,976321365;0,726;17313,06;497057;110651;88016,82;0,7331;0,7954;0,5831;0,9763
2009;22;0,00104786;5,526459144;0,008949416;2452617;1;0,726;18182,7;518143;113063,19;74309,71;0,7519;0,6572;0,4942;1
2010;22;0,001106035;5,765511991;0,011800533;2375151;1;0,81;24922,95;528271;116289,22;84748,2;0,7557;0,7288;0,5507;1
2011;22;0,000892423;6,148426491;0,013151714;2385640;1;0,81;27797,65;539103;118953,8;93019,57;0,7555;0,782;0,5908;1
2012;22;0,000885305;6,474776049;0,012729844;2395785;1;0,81;31167,37;546027;119057,53;102219,64;0,751;0,8586;0,6448;1
2013;22;0,000684505;6,459634649;0,010606953;2479165;1;0,81;33167,4;561095;120242,67;107399,7;0,7545;0,8932;0,6739;1
2014;22;0,000688047;5,483080513;0,008168028;2491109;1;0,81;35187,85;574936;117816,25;106392,68;0,7581;0,903;0,6846;1
2008;23;0;0;0;22289;0,852438423;0,544;23883,35;3916;1350;0;0,8333;0;0;0,8524
2009;23;8,87E-05;0;0;22555;0,84859233;0,544;20705,23;4023;1418;0;0,8061;0;0;0,8486
2010;23;0,000170962;2,25;0;23397;0;0,686;52310,55;;;;;;;
2011;23;0,000126609;6;0;23695;0;0,686;42005,13;;;;;;;
2012;23;0;0;0;23984;0,639676451;0,686;40560,66;5062;525;0;0,7056;0;0;0,6397
2013;23;0;0;0;25026;0;0,686;42875,45;;;;;;;
2014;23;0;0;0;25329;0,813297011;0,686;45820,12;6800;383,25;0;0,3582;0;0;0,8133
